lc_number,lc_question,lc_difficulty,description,lc_tags,youtube_video_number,bilibili_video_link,github_code_link
1,Two Sum,Easy,,"Array, Hash Table",c7qVoEcundc,https://www.bilibili.com/video/BV1eJ41187sE,https://github.com/fufuleetcode/FufuLeetCode/blob/master/1.two-sum.py
2,Add Two Numbers    ,Medium,,"Linked List, Math",PF-7_YeMoKo,,
3,Longest Substring Without Repeating Characters    ,Medium,,"Hash Table, Two Pointers, String, Sliding Windows",Aw_SC4ffip0,,
15,3Sum,Medium,,,CtrV7gpOdfI,,
19,Remove Nth Node From End of List ,Medium,,,5JpShorIQdk,,
20,Valid Parentheses    ,Easy,,,mq8qDefE1TM,,
21,Merge Two Sorted Lists    ,Easy,,,DVv0SqQ0TxM,,
22,Generate Parentheses    ,Medium,,,zW8qP5SCcg0,,
23,Merge k Sorted Lists  ,Hard,,,VD7Nizvm4-4,,
33,Search in Rotated Sorted Array    ,Medium,,,eG0DPSERvJw,,
42,Trapping Rain Water    ,Hard,,,EIFpXEzFIj8,,
53,Maximum Subarray    ,Easy,,,XK7XXKEtvo0,,
56,Merge Intervals    ,Medium,,,e7LrLNjhgoo,,
76,Minimum Window Substring    ,Hard,,,YP3bBDuojqk,,
121,Best Time to Buy and Sell Stock    ,Easy,,,dCpltAWsqzo,,
138,Copy List with Random Pointer    ,Medium,,,RK5KaR_gbg8,,
139,Word Break    ,Medium,,,5_T7ihU-zdo,,
146,LRU Cache    ,Medium,,,-lENpOxpSIE,,
200,Number of Islands    ,Medium,,,OMCZQe-oXe8,,
203,Remove Linked List Elements    ,Easy,,,cgzw4sPRihg,,
237,integer to English words,Hard,,,R6BiEJG4BZ0,,
238,Product of Array Except Self    ,Medium,,,u3Y7gGySnzk,,
269,Alien Dictionary,Hard,,,ZU7fiX0WCCY,,
297,Serialize and Deserialize Binary Tree ,Hard,,,8xopIFMGjRs,,
322,Coin Change    ,Medium,,,EM9YWv1hBSk,,
332,Reconstruct Itinerary    ,Medium,,,9mRDfF4eyO0,,
560,Subarray Sum Equals K    ,Medium,,,27kLEkHY_50,,
708,Insert into a Sorted Circular Linked List  ,Medium,,,S8ZjuH_sFT0,,
973,K Closest Points to Origin,Medium,,"Divide and Conquer, Heap, Sort",G9VcMTSZ1Lo,,https://github.com/fufuleetcode/FufuLeetCode/blob/master/973.k-closest-points-to-origin.py
1004,Max Consecutive Ones III    ,Medium,,,LNyGd9JxPCs,,
1192,Critical Connections in a Network    ,Hard,,,mKUsbABiwBI,,
1304,Find N Unique Integers Sum up to Zero    ,Easy,,,mYm6A6Jq8s0,,
1305,All Elements in Two Binary Search Trees    ,Medium,,,MV3bS4MJwho,,
1306,Jump Game III    ,Medium,,,ejL-NjPbEsU,,
